"Task ID","Task","Type","Parent Task","Status","Priority","Module","Progress","Repo","Due","Acceptance Criteria","Evidence","Next Action"
"MOD-01","五子棋规则核心","Parent","","In progress","P2","Core Rules","90%","Upper","","已有落子、胜负判断、棋盘状态；补齐边界测试证据","D:\Projects\gomoku_project","补边界测试和作品集证据"
"MOD-02","AI 决策","Parent","","In progress","P1","AI","80%","Upper","","能根据局面输出下一步；补输入输出演示证据","D:\Projects\gomoku_project","记录 AI 输入局面和输出下一步的演示"
"MOD-03","PyQt 上位机 GUI","Parent","","In progress","P1","GUI","75%","Upper","","已有棋盘显示、模式切换、AI 请求；待接入视觉矩阵展示","D:\Projects\gomoku_project","接入视觉识别矩阵展示"
"MOD-04","静态视觉 benchmark","Parent","","Done","P2","Perception","100%","Upper","","黑白棋 100% recall，0 误报；作为不可回退基线","D:\Projects\gomoku_project\calibration_tools","每次调 detector 后运行 benchmark"
"MOD-05","第 2 关棋子中心检测","Parent","","In progress","P0","Perception","75%","Upper","2026-06-06","实时检测、检测框、中心点、坐标打印、滑条调参、稳定器","D:\Projects\gomoku_project\piece_center_detect.py","固定 USB 摄像头实时检测参数并录证据"
"MOD-06","第 3 关像素转行列","Parent","","Not started","P1","Board Mapping","45%","Upper","","有棋盘矩阵思路；待做独立演示","D:\Projects\gomoku_project\vision\board_mapper.py","做独立 demo，把像素中心转成 row,col"
"MOD-07","AI 到机械臂 mock","Parent","","In progress","P1","Host-Arm Adapter","70%","Both","","已证明接口边界是 row,col；待补 mock 命令链路证据","D:\Projects\gomoku_project\docs\arm_controller_integration.md","补 mock 命令链路截图"
"MOD-08","下位机 CLI","Parent","","In progress","P1","Arm Controller","65%","Arm","","支持 place/home/stop/status；待整理 README 和证据","D:\Projects\gomoku_arm_controller","整理 README、CLI 示例和测试证据"
"MOD-09","姿态表与标定","Parent","","In progress","P2","Calibration","55%","Arm","","有 pose table 和四角插值方案；真实标定待验证","D:\Projects\gomoku_arm_controller\calibration","做真实四角和中心点标定"
"MOD-10","真实机械臂闭环","Parent","","Not started","P2","Full Loop","25%","Both","","协议和 mock 有了；真实硬件仍需验证","D:\Projects\gomoku_project; D:\Projects\gomoku_arm_controller","先完成单步真实硬件验证"
"SUB-01","补规则核心边界测试证据","Subtask","MOD-01","Not started","P2","Core Rules","","Upper","","有测试输出或截图证明胜负判断可靠","D:\Projects\gomoku_project","运行规则测试并截图"
